week_start,competitor,product,price,promo,social_mentions,social_sentiment,traffic_index,review_score,notes
2026-04-06,AlphaMart,Essentials Box,49.99,Spring bundle,1320,0.42,81,4.2,Strong bundle response with stable reviews
2026-04-13,AlphaMart,Essentials Box,47.49,Flash discount,1580,0.37,86,4.1,Discount lifted traffic but sentiment softened
2026-04-20,AlphaMart,Essentials Box,47.49,Loyalty points,1495,0.45,89,4.3,Loyalty offer held price and improved review tone
2026-04-06,BetaBuy,Essentials Box,52.99,Free shipping,980,0.28,74,3.9,Shipping message helped conversion but price remains high
2026-04-13,BetaBuy,Essentials Box,50.99,Free shipping,1040,0.31,76,4.0,Small price move produced limited traffic gain
2026-04-20,BetaBuy,Essentials Box,48.99,Weekend sale,1365,0.35,83,4.1,Weekend sale closed gap against AlphaMart
2026-04-06,Cartly,Essentials Box,45.99,No promo,720,0.18,62,3.7,Low price but weak awareness
2026-04-13,Cartly,Essentials Box,46.99,Creator code,1125,0.51,71,4.0,Creator push improved sentiment and mentions
2026-04-20,Cartly,Essentials Box,46.49,Creator code,1280,0.55,79,4.2,Social momentum continuing with controlled price
2026-04-06,DirectCo,Essentials Box,54.99,Subscription trial,640,0.46,58,4.5,Premium positioning with loyal reviews
2026-04-13,DirectCo,Essentials Box,54.99,Subscription trial,700,0.44,60,4.4,Stable premium pricing
2026-04-20,DirectCo,Essentials Box,51.99,Retention offer,930,0.49,68,4.5,Retention offer increased traffic without review damage
